Ator	der Schauspieler
tempo	Die Zeit
mão	die Hand
dia	der tag
caminho	der Weg
olho	das Auge
cabeça	der Kopf
ano	das Jahr
quarto	das Zimmer
cara	das Gesicht
povo	das Volk
noite	die Nacht
vida	das Leben
costas	der Rücken
voz	die Stimme
lugar	der Ort
braço	der Arm
momento	der Moment
cabelo	das Haar
pé	der Fuß
luz	das Licht
mundo	die Welt
janela	das Fenster
corpo	der Körper
mesa	der Tisch
cama	das Bett
muro	die Mauer
ar	die Luft
chão	der Boden
hora	die Stunde
família	die Familie
tipo	die Art
minuto	die Minute
história	die Geschichte
semana	die Woche
ombro	die Schulter
parte	der Teil
mente	der Geist
boca	der Mund
árvore	der Baum
som	der Klang
perna	das Bein
cadeira	der Stuhl
mês	der Monat
cozinha	die Küche
trabalho	der Beruf
sorriso	das Lächeln
pensamento	der Gedanke
morto	der Tod
fogo	das Feuer
passo	der Schritt
sangue	das Blut
facto	die Tatsache
lábio	die Lippe
canto	die Ecke
casal	das Ehepaar
mala	der Beutel
inferno	die Hölle
céu	der Himmel
caixa	die Kiste
pessoa	die Person
razão	der Grund
pele	die Haut
imagem	das Bild
orelha	das Ohr
pescoço	der Hals
vento	der Wind
arma	die Waffe
pedra	der Stein
terra	die Erde
guerra	der Krieg
campo	das Feld
carta	der Brief
sonho	der Traum
peito	die Brust
silêncio	die Stille
poder	die Macht
sinal	das Schild
atenção	die Aufmerksamkeit
dor	der Schmerz
rio	der Fluss
nariz	die Nase
sombra	der Schatten
memória	das Gedächtnis
joelho	das Knie
dente	der Zahn
dificuldade	die Schwierigkeit
lágrima	die Träne
alívio	die Erleichterung
segredo	das Geheimnis
aparência	der Anschein
coincidência	die Fügung
arrependimento	die Reue
vacina	die Impfung
cuidador	der Pfleger
restrição	die Einschränkung
mood	die Stimmung
caixa de supermercado	der Kassierer
trabalhador (de alguma superfície)	der Angestellten
louça	das Geschirr
falta de algo (shortage)	der Engpass
exceção	die Ausnahme
esperança	die Hoffnung
febre	das Fieber
tosse	der Husten
tartaruga	die Schildkröte
cova do braço	die Armbeuge
ladrão	der Dieb
tomada	die Steckdose
árbitro	der Schiedsrichter
despertador	der Wecker
